pdb,n_res,bf_uniform,r_bd_logmsf,r_bd_degree,r_bd_burial,r_bd_bfactor,r_logmsf_bfactor,r_degree_bfactor,partial_r_bd_bfactor_given_degree,median_min_eig,median_cond,median_eff_rank
1CRN,46.000000,0.000000,0.651329,-0.491862,-0.591672,0.127400,0.604172,-0.576057,-0.219110,0.644571,3.404742,6.089903
1UBQ,76.000000,0.000000,0.660312,-0.478331,-0.549729,0.549830,0.792808,-0.648866,0.358356,0.556268,4.445314,5.843701
1L2Y,20.000000,1.000000,-0.176615,0.146565,0.126312,nan,nan,nan,nan,0.699396,2.555947,6.456148
2CI2,65.000000,0.000000,0.677831,-0.579718,-0.554015,0.583928,0.843664,-0.705379,0.303008,0.622383,4.021521,5.984374
1PGB,56.000000,0.000000,0.520269,-0.377945,-0.307090,0.477013,0.638584,-0.544981,0.349161,0.598762,3.838058,5.882239
1BDD,60.000000,1.000000,0.794900,-0.549333,-0.534327,nan,nan,nan,nan,0.583410,4.612591,5.756707
1SHG,57.000000,0.000000,0.580598,-0.472827,-0.528541,-0.055579,0.592348,-0.571500,-0.450573,0.671458,2.780337,6.442699
1TIT,89.000000,0.000000,0.459393,-0.292966,-0.424530,0.631581,0.783589,-0.691641,0.621175,0.608772,3.601469,6.159895
1ENH,54.000000,0.000000,0.212594,-0.012315,-0.133182,-0.206929,0.671838,-0.565352,-0.259329,0.511898,6.214948,5.152026
1RIS,97.000000,0.000000,0.686837,-0.421621,-0.446651,0.326741,0.448859,-0.492749,0.150800,0.578041,4.596505,5.755516
1APS,98.000000,1.000000,0.555616,-0.347705,-0.417220,nan,nan,nan,nan,0.617910,3.815160,6.054397
1STN,136.000000,0.000000,0.591714,-0.395818,-0.560379,0.635207,0.696179,-0.534357,0.545845,0.571056,4.344391,5.871779
3CHY,128.000000,0.000000,0.676926,-0.445561,-0.565000,0.439164,0.752843,-0.664214,0.213999,0.557680,4.890898,5.673125
1TEN,89.000000,0.000000,0.549997,-0.285770,-0.403776,-0.016779,0.276695,-0.279424,-0.105018,0.575431,4.002471,5.941181
1AJ3,98.000000,0.000000,0.543832,-0.055025,-0.108732,0.646433,0.644279,-0.304585,0.662088,0.488030,6.817343,4.907461
1PHT,83.000000,0.000000,0.731407,-0.624222,-0.685217,0.665599,0.676665,-0.629797,0.448991,0.609041,3.687759,6.098597
1IGD,61.000000,0.000000,0.676319,-0.574678,-0.529074,0.605904,0.528562,-0.483473,0.457948,0.588559,4.247813,5.864147
1PIN,155.000000,1.000000,0.829082,-0.551306,-0.672267,nan,nan,nan,nan,0.542062,5.421999,5.412815
2PTL,78.000000,1.000000,0.920729,-0.683913,-0.636405,nan,nan,nan,nan,0.491720,6.206384,5.236165
1CTF,68.000000,0.000000,0.529563,-0.316477,-0.351596,0.230814,0.441147,-0.409393,0.116990,0.616030,3.716867,6.042261
1FKB,107.000000,0.000000,0.653809,-0.346007,-0.563077,0.396548,0.638339,-0.568482,0.258913,0.589986,4.046319,5.970775
1CSP,67.000000,0.000000,0.720671,-0.550814,-0.701564,0.206302,0.499231,-0.515919,-0.108918,0.616598,2.921174,6.325687
1SHF,59.000000,0.000000,0.450510,-0.371039,-0.482107,-0.053610,0.608791,-0.532117,-0.319303,0.646440,2.962615,6.335156
1PBA,81.000000,0.000000,0.525869,-0.415849,-0.397861,0.445938,0.765369,-0.581494,0.275893,0.563694,4.887489,5.657172
1HZ6,67.000000,0.000000,0.616521,-0.489338,-0.517917,0.176997,0.482892,-0.451527,-0.056485,0.580668,4.361109,5.898066
1UBI,76.000000,0.000000,0.655417,-0.471059,-0.549944,0.464147,0.662666,-0.522110,0.290038,0.557739,4.414503,5.857235
2GB1,56.000000,0.000000,0.567727,-0.391101,-0.391419,0.288985,0.692844,-0.647081,0.051178,0.586383,4.162871,5.811681
1DIV,149.000000,0.000000,0.793816,0.106301,0.054483,0.812218,0.815763,-0.088561,0.829574,0.290722,15.367960,3.395667
1BEB,156.000000,0.000000,0.621457,-0.445498,-0.589016,-0.072232,-0.075535,0.073105,-0.044422,0.583158,4.251580,5.891707
1NLS,239.000000,1.000000,0.633685,-0.409318,-0.555686,nan,nan,nan,nan,0.600343,3.951700,6.030417
