pdb,r_flex,r_deg,r_bur,r_partial
1CRN,0.656296,-0.491862,-0.591672,0.585118
1UBQ,0.586766,-0.478331,-0.549729,0.387115
2CI2,0.569459,-0.579718,-0.554015,0.203824
1PGB,0.491737,-0.377945,-0.307090,0.405315
1BDD,0.744098,-0.549333,-0.534327,0.602022
1SHG,0.583196,-0.472827,-0.528541,0.430290
1TIT,0.394031,-0.292966,-0.424530,0.316120
1ENH,0.051006,-0.012315,-0.133182,0.070505
1RIS,0.660642,-0.421621,-0.446651,0.658697
1APS,0.547434,-0.347705,-0.417221,0.598073
1STN,0.486705,-0.395818,-0.560379,0.309530
3CHY,0.640422,-0.445561,-0.565000,0.598476
1TEN,0.554710,-0.285770,-0.403776,0.654322
1AJ3,0.497254,-0.055025,-0.108732,0.760081
1PHT,0.568314,-0.624222,-0.685217,0.177400
1IGD,0.542314,-0.574678,-0.529074,0.196513
1PIN,0.750917,-0.551306,-0.672267,0.614235
2PTL,0.858471,-0.683913,-0.636405,0.731500
1CTF,0.512463,-0.316477,-0.351596,0.574390
1FKB,0.669981,-0.346007,-0.563077,0.818308
1CSP,0.752399,-0.550814,-0.701564,0.711772
1SHF,0.298093,-0.371039,-0.482107,-0.014290
1PBA,0.347701,-0.415849,-0.397861,0.019163
1HZ6,0.464458,-0.489338,-0.517917,0.167005
1UBI,0.583740,-0.471059,-0.549944,0.390833
2GB1,0.549361,-0.391101,-0.391419,0.541317
1DIV,0.797714,0.106301,0.054483,0.918546
1BEB,0.580060,-0.445498,-0.589016,0.478033
