pdb,n_res,n_site,site_tc,bg_tc,z
3PTB,224.000000,8.000000,0.300948,0.527442,-0.728198
4DFR,161.000000,8.000000,0.473466,0.639731,-0.679659
1STP,121.000000,5.000000,0.546266,0.577615,-0.082801
3ERT,250.000000,8.000000,0.883015,1.000855,-0.284410
1M17,314.000000,14.000000,0.855939,1.248053,-0.337016
